id,name,eventdate,courseid,eventurl,maxentries,eventoutcome,notes,countsforpb
1,2Up,2015-03-15 09:00:00,1,,30,,,N
2,,2015-03-22 08:30:00,2,,30,,,Y
3,,2015-04-16 18:30:00,3,,30,,,Y
4,,2015-04-23 18:45:00,2,,30,,,Y
5,,2015-04-30 19:00:00,1,,30,,,Y
6,,2015-05-07 19:00:00,4,,30,,,Y
7,,2015-05-14 19:00:00,1,,30,,,Y
8,Come and Try It,2015-05-21 19:00:00,2,,40,,,Y
9,,2015-05-28 19:00:00,5,,30,,,Y
10,,2015-06-02 19:30:00,8,,30,,,Y
11,,2015-06-09 19:30:00,6,,30,,,Y
12,,2015-06-16 19:30:00,8,,30,,,Y
13,,2015-06-23 19:00:00,9,,30,,,Y
14,,2015-06-30 19:00:00,8,,30,,,Y
15,,2015-07-07 19:30:00,6,,30,,,Y
16,,2015-07-11 07:00:00,8,,30,,,Y
17,,2015-07-16 19:00:00,1,,30,,,Y
18,Come and Try It,2015-07-23 19:00:00,2,,40,,,Y
19,,2015-07-30 19:00:00,4,,30,,,Y
20,,2015-08-06 19:00:00,3,,30,,,Y
21,Come and Try It,2015-08-13 19:00:00,2,,30,,,Y
22,,2015-09-05 07:00:00,8,,30,,,Y
23,,2015-09-12 07:00:00,7,,30,,,Y
24,,2015-09-19 07:00:00,7,,30,,,Y
25,Club Hill Climb,2015-09-27 10:00:00,10,,30,,,Y
26,Boxing Day TT,2015-12-26 10:00:00,11,,30,,,Y
